filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MTC_vo_08600_005380_g2,3.93088E+01,8.60000E-06,2.09907E+00,1.13365E+00,1.24810E-08,6.52380E-13,9.74000E-05,5.40072E-01,9.51563E-01
MTC_vo_08600_037232_g1,2.72016E+02,8.60000E-06,2.02359E+00,1.03684E+00,1.02510E-06,2.16180E-10,1.33400E-03,5.12379E-01,9.79776E-01
MTC_vo_08600_005938_g2,4.33850E+01,8.60000E-06,2.09587E+00,1.12473E+00,1.52040E-08,8.77100E-13,1.07500E-04,5.36641E-01,9.54463E-01
MTC_vo_08600_000389_fd,2.84106E+00,8.60000E-06,8.63843E-01,6.47191E-01,6.63345E-11,2.45394E-16,7.11741E-06,7.49199E-01,7.69615E-01
MTC_vo_08600_014360_g2,1.04916E+02,8.60000E-06,2.04681E+00,1.06227E+00,1.15670E-07,1.24040E-11,3.54200E-04,5.18989E-01,9.61194E-01
MTC_vo_08600_027910_g1,2.03910E+02,8.60000E-06,2.02858E+00,1.04219E+00,5.76030E-07,9.10640E-11,1.00000E-03,5.13751E-01,9.78544E-01
MTC_vo_08600_000148_fd,1.08051E+00,8.60000E-06,1.35765E-01,5.60636E-02,9.59232E-12,1.34951E-17,2.73747E-06,4.12945E-01,2.83994E-01
MTC_vo_08600_001999_fd,1.46031E+01,8.60000E-06,2.28946E+00,1.50333E+00,1.75443E-09,3.33401E-14,3.65452E-05,6.56633E-01,9.17111E-01
MTC_vo_08600_001440_fd,1.05226E+01,8.60000E-06,2.42831E+00,1.75864E+00,9.10267E-10,1.24727E-14,2.62797E-05,7.24227E-01,9.06545E-01
MTC_vo_08600_000077_fd,5.60301E-01,8.60000E-06,4.43578E-02,5.64158E-03,2.57765E-12,1.88137E-18,1.36873E-06,1.27183E-01,8.34921E-02
